Name,GK,CB,CM,ST,RW,LB
M. Mimoun,13.0,54.0,62.0,61.0,64.0,57.0
S. Conneely,13.6,62.0,59.0,54.0,56.0,62.0
A. Groven,13.2,61.0,58.0,57.0,59.0,62.0
Shin Chang Moo,11.4,48.0,62.0,57.0,61.0,52.0
J. Delem,11.2,62.0,59.0,58.0,59.0,62.0
M. Trianni,9.6,53.0,60.0,56.0,60.0,57.0
P. Doody,10.2,60.0,58.0,48.0,55.0,62.0
J. Kempin,62.8,,,,,
G. Taft,12.6,62.0,55.0,49.0,48.0,60.0
A. Melgalvis,11.0,61.0,60.0,61.0,61.0,62.0
J. Melling,10.4,60.0,58.0,52.0,55.0,58.0
D. Connolly,11.8,41.0,53.0,59.0,63.0,48.0
M. Green,12.0,39.0,53.0,62.0,60.0,44.0
M. Poaty,11.0,61.0,56.0,58.0,59.0,62.0
D. Prokop,9.2,46.0,59.0,57.0,62.0,51.0
Felipe Soldivia,10.2,56.0,62.0,59.0,61.0,58.0
O. Verdon,10.8,62.0,43.0,41.0,38.0,56.0
R. Seager,9.2,37.0,53.0,62.0,60.0,41.0
S. Yajima,10.0,47.0,61.0,57.0,61.0,54.0
D. Zagadou,11.0,62.0,45.0,44.0,43.0,55.0
R. Lambe,8.0,49.0,57.0,58.0,62.0,54.0
D. Vaca,63.0,,,,,
B. Lenihan,11.0,61.0,60.0,55.0,58.0,62.0
A. Madu,9.2,62.0,44.0,41.0,38.0,56.0
D. Fisher,11.2,62.0,49.0,46.0,51.0,62.0
T. Mikkelsen,63.4,,,,,
Z. Al Sahafi,9.8,62.0,51.0,47.0,42.0,54.0
Y. Teijsse,10.8,39.0,49.0,62.0,59.0,42.0
C. McAleny,9.6,36.0,56.0,62.0,65.0,45.0
M. Rentador,10.2,38.0,56.0,62.0,63.0,45.0
Jang Yun Ho,10.8,61.0,60.0,56.0,56.0,60.0
A. Sala,62.2,,,,,
K. Nowak,9.8,62.0,52.0,50.0,51.0,59.0
J. Narváez,11.8,36.0,51.0,62.0,58.0,37.0
S. Echeverría,14.2,62.0,38.0,37.0,34.0,54.0
Dani Morer,10.2,59.0,60.0,55.0,61.0,62.0
J. McAlister,11.4,59.0,62.0,60.0,60.0,61.0
S. Marinovic,60.6,,,,,
L. Agbenyenu,8.0,61.0,58.0,61.0,63.0,63.0
G. Merebashvili,9.4,45.0,58.0,60.0,63.0,49.0
A. Smith-Brown,11.4,62.0,56.0,52.0,57.0,62.0
D. Lewis,10.2,38.0,54.0,62.0,63.0,45.0
Rayco,8.0,51.0,60.0,59.0,62.0,55.0
S. Palla,11.0,60.0,52.0,48.0,54.0,62.0
H. Al Amiri,10.2,50.0,59.0,55.0,61.0,54.0
C. Paredes,7.8,63.0,62.0,59.0,59.0,63.0
K. Diatta,10.4,40.0,57.0,62.0,66.0,50.0
N. Delfouneso,9.0,36.0,51.0,62.0,60.0,39.0
G. Taylor,9.6,60.0,54.0,51.0,53.0,62.0
Y. Kakoko,9.2,61.0,65.0,65.0,66.0,63.0
S. Suljevic,11.6,53.0,62.0,56.0,58.0,54.0
M. Sarr,10.2,62.0,56.0,50.0,53.0,60.0
L. O'Nien,11.0,61.0,62.0,58.0,60.0,62.0
Einar Galilea,12.4,62.0,46.0,45.0,42.0,56.0
M. Wachs,9.8,58.0,57.0,51.0,58.0,62.0
K. Dennis,8.2,45.0,54.0,62.0,58.0,46.0
C. Millar,12.6,61.0,62.0,52.0,60.0,63.0
E. Koffi,9.4,63.0,58.0,57.0,60.0,62.0
E. Ayuk,9.0,47.0,55.0,60.0,64.0,53.0
O. Taşdelen,11.8,63.0,57.0,57.0,56.0,62.0
P. Zebli,13.4,62.0,58.0,56.0,57.0,61.0
A. Rogie,9.8,58.0,62.0,59.0,59.0,58.0
H. Gjesdal,12.8,62.0,49.0,45.0,44.0,57.0
D. Zibung,61.0,,,,,
T. Adarabioyo,10.6,62.0,50.0,45.0,45.0,58.0
P. Dolgov,10.0,43.0,54.0,62.0,59.0,45.0
José Amo,8.4,62.0,54.0,50.0,52.0,61.0
G. Fechner,9.0,62.0,57.0,51.0,52.0,59.0
W. McKennie,9.6,61.0,62.0,60.0,60.0,61.0
K. Wojtkowski,9.6,47.0,58.0,53.0,62.0,52.0
D. Maresic,11.6,62.0,45.0,42.0,39.0,57.0
C. D'Urso,9.4,49.0,61.0,55.0,60.0,53.0
J. Romil,10.4,35.0,51.0,62.0,60.0,40.0
T. Boss,61.4,,,,,
Gorosabel,9.8,59.0,52.0,45.0,52.0,62.0
J. Wright,9.2,62.0,50.0,44.0,44.0,55.0
A. Eriksson,10.2,51.0,60.0,63.0,63.0,53.0
D. Stec,10.6,58.0,55.0,55.0,60.0,62.0
M. Şengezer,61.4,,,,,
A. Öztürk,11.6,38.0,51.0,62.0,61.0,44.0
Sarriegi,9.2,56.0,62.0,54.0,58.0,58.0
J. Reine-Adelaïde,12.0,50.0,60.0,59.0,61.0,52.0
Barbosa,9.0,38.0,52.0,62.0,59.0,40.0
M. Małkowski,10.6,55.0,60.0,58.0,62.0,58.0
G. Müller,10.0,43.0,57.0,57.0,64.0,50.0
T. Thomas,10.6,62.0,56.0,51.0,53.0,62.0
T. Tzimopoulos,9.0,62.0,55.0,51.0,50.0,57.0
C. Shaughnessy,12.0,62.0,55.0,52.0,51.0,59.0
I. Shekiladze,11.6,41.0,55.0,62.0,64.0,47.0
M. Moström,10.6,54.0,59.0,60.0,63.0,60.0
L. John-Lewis,11.4,43.0,51.0,62.0,59.0,44.0
C. Whelpdale,12.6,56.0,61.0,62.0,62.0,59.0
J. Büscher,13.4,49.0,60.0,56.0,61.0,52.0
C. Mackail-Smith,13.4,48.0,57.0,62.0,61.0,50.0
F. Bonazzoli,9.2,41.0,52.0,62.0,59.0,44.0
M. Boben,12.2,62.0,37.0,40.0,36.0,56.0
C. Fassnacht,11.2,32.0,56.0,65.0,62.0,38.0
N. Hansen,10.6,45.0,56.0,62.0,62.0,50.0
A. Dźwigała,11.2,62.0,57.0,54.0,52.0,60.0
A. Sabbione,12.2,62.0,62.0,55.0,57.0,61.0
A. Jakobsen,10.8,48.0,62.0,59.0,65.0,53.0
J. Segura,10.0,62.0,39.0,41.0,35.0,54.0
K. Sanson,8.8,58.0,63.0,59.0,63.0,61.0
S. Sakala,10.6,46.0,58.0,62.0,64.0,49.0
S. Abe,12.0,62.0,49.0,44.0,50.0,63.0
M. Söderqvist,12.2,40.0,56.0,62.0,64.0,47.0
T. Grupe,11.8,66.0,53.0,53.0,45.0,58.0
T. Fosu,10.4,38.0,54.0,57.0,62.0,47.0
G. Zakuani,8.8,62.0,46.0,42.0,42.0,57.0
M. Kvasina,9.2,41.0,50.0,62.0,55.0,40.0
M. Mikkelsen,9.8,44.0,56.0,59.0,61.0,49.0
O. Shodipo,8.6,36.0,54.0,57.0,62.0,46.0
P. Deligiannidis,10.2,34.0,54.0,58.0,62.0,44.0
C. Tanner,9.0,43.0,57.0,60.0,63.0,49.0
O. Velanas,11.2,51.0,62.0,59.0,61.0,54.0
K. Jałocha,64.2,,,,,
A. Engaña,62.2,,,,,
H. Elhouni,9.8,38.0,53.0,59.0,63.0,45.0
Francisco Júnior,11.0,58.0,62.0,58.0,62.0,60.0
B. de Jong,61.6,,,,,
F. Fallatah,13.0,62.0,43.0,40.0,39.0,58.0
A. Vajushi,10.6,32.0,55.0,55.0,63.0,44.0
S. Adamyan,12.8,39.0,53.0,62.0,61.0,41.0
A. Desmas,63.0,,,,,
D. Poggenberg,11.2,63.0,53.0,51.0,54.0,62.0
J. Flores,11.0,57.0,46.0,45.0,52.0,62.0
A. Potter,10.8,45.0,55.0,57.0,62.0,51.0
K. Berkhamov,9.6,57.0,62.0,63.0,64.0,60.0
D. Savage,12.8,33.0,52.0,60.0,63.0,41.0
C. Burgess,11.6,62.0,45.0,42.0,39.0,56.0
R. Neudecker,12.4,51.0,62.0,54.0,62.0,58.0
Bruno Ramires,13.6,61.0,63.0,58.0,59.0,60.0
G. Perrin,10.0,42.0,56.0,61.0,63.0,47.0
M. Bennett,11.2,49.0,57.0,62.0,64.0,51.0
S. Coulthirst,11.8,37.0,53.0,62.0,62.0,42.0
R. Peiponen,11.6,56.0,55.0,54.0,59.0,62.0
G. Nutz,9.2,52.0,59.0,60.0,62.0,56.0
S. Pecorini,11.6,61.0,54.0,51.0,53.0,62.0
C. Martinez,9.0,45.0,57.0,59.0,62.0,50.0
N. Thomas,12.6,42.0,54.0,59.0,63.0,49.0
E. Oelschlägel,60.8,,,,,
Nadjack,10.2,60.0,54.0,53.0,56.0,62.0
A. Romero,9.0,62.0,62.0,54.0,56.0,62.0
B. Kukeli,13.8,64.0,62.0,56.0,57.0,64.0
R. Castro,13.2,58.0,60.0,49.0,54.0,62.0
A. Kaluđerović,9.8,39.0,49.0,62.0,56.0,39.0
A. Sheehan,11.4,62.0,60.0,56.0,59.0,64.0
A. Gnanduillet,11.0,46.0,47.0,62.0,55.0,43.0
K. Thomas,10.4,49.0,53.0,62.0,57.0,47.0
L. Odak,11.0,61.0,58.0,56.0,57.0,62.0
D. McGeouch,13.0,54.0,63.0,59.0,61.0,55.0
R. Moraganoz,9.4,63.0,51.0,47.0,51.0,62.0
R. Quijada,10.2,63.0,48.0,46.0,48.0,62.0
J. Oosterwijk,11.6,42.0,54.0,62.0,56.0,42.0
I. Niane,9.2,34.0,48.0,62.0,58.0,38.0
I. Zuev,11.0,62.0,48.0,46.0,42.0,55.0
Kim Gyeong Min,11.0,63.0,57.0,46.0,46.0,56.0
M. Sourzac,61.4,,,,,
S. Miller,13.2,37.0,52.0,62.0,60.0,42.0
F. Götze,11.2,62.0,43.0,42.0,40.0,56.0
D. Djigla,9.2,38.0,55.0,58.0,63.0,45.0
Raúl Guti,11.4,62.0,62.0,59.0,58.0,61.0
J. Jones,9.4,33.0,53.0,57.0,63.0,45.0
S. Barry,9.0,62.0,59.0,59.0,62.0,63.0
A. Santurro,64.4,,,,,
J. Guillermo,11.8,62.0,62.0,56.0,58.0,59.0
T. Karagounis,10.4,39.0,57.0,60.0,63.0,44.0
A. Brunst,61.6,,,,,
R. Aabid,10.2,37.0,55.0,58.0,63.0,44.0
S. McTominay,8.4,62.0,62.0,62.0,61.0,61.0
O. Lee,10.8,56.0,62.0,59.0,60.0,58.0
Lee Woo Hyeok,10.8,56.0,62.0,56.0,60.0,59.0
J. Solberg,9.8,61.0,59.0,54.0,57.0,61.0
A. Ferrante,9.4,35.0,53.0,62.0,63.0,42.0
J. Martínez,10.6,61.0,56.0,53.0,55.0,62.0
E. Umeres,10.2,34.0,54.0,62.0,63.0,41.0
C. Wyke,13.0,41.0,49.0,62.0,58.0,40.0
K. Al Kaabi,9.6,32.0,53.0,59.0,63.0,43.0
J. Fleita,10.6,62.0,42.0,44.0,40.0,57.0
Alminho Boas,63.2,,,,,
D. Grainger,10.8,61.0,59.0,57.0,57.0,62.0
C. Mandouki,9.2,62.0,62.0,57.0,58.0,62.0
Raphael Rossi,9.2,62.0,47.0,46.0,45.0,56.0
Pedro,61.2,,,,,
V. Ermazabales,13.8,48.0,58.0,62.0,64.0,53.0
C. Traoré,10.4,63.0,52.0,47.0,52.0,62.0
B. Blume,10.6,49.0,59.0,57.0,61.0,55.0
Dráusio,11.4,62.0,39.0,39.0,35.0,56.0
F. Kath,9.2,48.0,57.0,59.0,62.0,53.0
M. Dyngeland,61.6,,,,,
G. Nilsson,10.2,43.0,52.0,62.0,57.0,43.0
A. Claude-Maurice,13.6,41.0,56.0,59.0,63.0,48.0
I. Arboleda,64.8,,,,,
T. Takagi,10.6,38.0,56.0,62.0,64.0,48.0
J. Akpa Akpro,7.4,44.0,53.0,62.0,63.0,47.0
Y. Quiñones,9.8,62.0,39.0,43.0,36.0,54.0
R. Basque,10.4,57.0,62.0,60.0,62.0,60.0
Ruan Renato,11.4,62.0,43.0,42.0,40.0,56.0
B. Kololli,9.8,58.0,61.0,63.0,62.0,59.0
A. Keita,8.8,60.0,62.0,56.0,57.0,58.0
D. Frattesi,8.8,55.0,62.0,57.0,58.0,56.0
Prendes,9.4,62.0,44.0,44.0,41.0,57.0
Danisco Fachini,10.4,63.0,52.0,54.0,53.0,62.0
M. Fellah,12.4,51.0,62.0,63.0,67.0,56.0
N. Danns,11.4,58.0,62.0,64.0,64.0,60.0
J. Bellegarde,12.0,59.0,62.0,54.0,60.0,60.0
M. Fetsch,12.0,48.0,53.0,62.0,55.0,45.0
F. Torsteinbø,10.2,50.0,60.0,59.0,62.0,54.0
R. Melgrati,61.8,,,,,
R. Gumny,9.6,59.0,53.0,46.0,54.0,62.0
M. Kakuda,11.0,62.0,50.0,48.0,47.0,58.0
Kang Ji Yong,10.2,62.0,42.0,46.0,37.0,53.0
C. Ramírez,8.6,62.0,42.0,43.0,39.0,55.0
K. Hazard,9.8,39.0,57.0,56.0,63.0,45.0
M. Fornari,12.4,36.0,56.0,62.0,64.0,42.0
L. Abram,10.0,62.0,43.0,41.0,39.0,56.0
Mario González,10.8,33.0,53.0,60.0,63.0,41.0
Y. M'Changama,11.0,57.0,62.0,57.0,62.0,58.0
U. Bozok,9.6,32.0,56.0,62.0,63.0,39.0
L. McAlinden,12.8,35.0,49.0,62.0,60.0,41.0
S. Hefti,9.8,62.0,53.0,49.0,50.0,60.0
F. Colela,11.8,65.0,62.0,62.0,63.0,65.0
K. John,8.4,62.0,46.0,45.0,44.0,58.0
M. Centeno,62.8,,,,,
Jung San,61.6,,,,,
N. Al Subhi,11.8,62.0,45.0,49.0,47.0,59.0
M. Ratajczak,57.8,,,,,
M. Ali,11.6,53.0,62.0,55.0,57.0,55.0
S. Szymański,11.4,36.0,54.0,54.0,62.0,46.0
M. Caillard,60.4,,,,,
Y. Misao,10.8,62.0,59.0,52.0,55.0,64.0
R. Rivas,9.4,38.0,54.0,60.0,62.0,46.0
G. Fabiano,11.0,33.0,55.0,61.0,63.0,44.0
E. Andersson,9.2,47.0,61.0,54.0,61.0,53.0
D. Baumann,12.0,41.0,53.0,62.0,58.0,42.0
J. Cádiz,8.2,42.0,51.0,62.0,55.0,40.0
E. Nouri,8.0,61.0,55.0,52.0,55.0,62.0
Vallès,11.2,57.0,62.0,61.0,62.0,60.0
B. Romero,10.6,45.0,56.0,62.0,64.0,53.0
H. Akbunar,10.4,35.0,55.0,54.0,62.0,47.0
R. Lowe,8.4,45.0,58.0,62.0,59.0,45.0
L. Ndao,12.0,52.0,57.0,62.0,65.0,57.0
M. Desler,7.6,58.0,62.0,61.0,64.0,62.0
M. Coulibaly,8.6,60.0,62.0,57.0,58.0,60.0
H. Pell,8.8,62.0,62.0,62.0,59.0,61.0
P. Diouf,9.2,40.0,54.0,62.0,63.0,46.0
F. Ruberto,62.2,,,,,
T. Bröker,10.6,50.0,55.0,63.0,61.0,52.0
Y. Amankwah,11.4,62.0,43.0,46.0,36.0,53.0
I. Pękalski,10.2,64.0,62.0,55.0,57.0,60.0
A. Muric,62.2,,,,,
W. Atkinson,9.6,57.0,59.0,58.0,60.0,60.0
M. Beerman,9.8,57.0,56.0,48.0,58.0,62.0
P. Burner,11.8,60.0,60.0,53.0,58.0,62.0
A. Al Mazaidi,63.0,,,,,
T. Andreassen,8.4,62.0,62.0,59.0,59.0,59.0
L. Béland-Goyette,11.8,57.0,62.0,57.0,61.0,59.0
D. Grétarsson,10.4,62.0,58.0,56.0,58.0,62.0
C. Andrew,10.6,56.0,56.0,62.0,58.0,55.0
F. Lesniak,9.4,59.0,60.0,54.0,56.0,60.0
S. Henriksen,13.2,62.0,52.0,47.0,47.0,59.0
D. Williams,9.4,48.0,59.0,57.0,60.0,54.0
D. Bamba,11.4,35.0,51.0,62.0,62.0,42.0
J. Dacres-Cogley,10.4,58.0,60.0,57.0,62.0,62.0
C. Robertson,9.8,62.0,48.0,46.0,41.0,53.0
A. Barbaro,10.2,42.0,58.0,59.0,63.0,49.0
V. Kováč,12.2,64.0,49.0,47.0,50.0,62.0
D. Wayar,11.2,59.0,58.0,46.0,51.0,61.0
Jorge Cuenca,10.6,62.0,50.0,44.0,43.0,59.0
M. Lysov,10.8,60.0,61.0,55.0,59.0,62.0
J. Wright,11.8,56.0,62.0,60.0,61.0,57.0
Yeon Jei Min,10.2,62.0,44.0,42.0,41.0,56.0
J. Marchioni,13.4,54.0,62.0,59.0,60.0,56.0
G. Lanfuente,10.2,56.0,62.0,59.0,61.0,58.0
L. Opdam,8.8,60.0,52.0,49.0,56.0,62.0
T. Yamashita,9.6,62.0,43.0,44.0,41.0,60.0
C. Alcock,10.0,62.0,53.0,50.0,52.0,64.0
M. Guezoui,11.8,35.0,46.0,62.0,58.0,39.0
R. Cota,12.4,55.0,57.0,59.0,62.0,59.0
K. Ogawa,10.8,53.0,58.0,59.0,63.0,57.0
J. Bruijn,10.2,53.0,62.0,48.0,57.0,56.0
M. Stamnestrø,10.6,50.0,62.0,63.0,63.0,53.0
P. Forsell,12.6,44.0,64.0,59.0,62.0,48.0
O. Lie,10.2,62.0,56.0,54.0,51.0,57.0
Dani Molina,13.0,58.0,64.0,57.0,61.0,60.0
J. Sabbatini,9.0,54.0,62.0,59.0,63.0,57.0
F. Hansch,11.0,30.0,54.0,62.0,65.0,42.0
I. Gorbatenko,12.8,53.0,62.0,64.0,67.0,57.0
S. Slocombe,61.6,,,,,
Kim Dae Gyeong,10.6,54.0,59.0,59.0,63.0,60.0
T. Deng,9.8,62.0,51.0,46.0,49.0,60.0
D. Dankerlui,10.0,60.0,54.0,54.0,57.0,62.0
D. Lamkel Ze,10.8,51.0,58.0,62.0,63.0,53.0
Sergio Sánchez,10.4,37.0,53.0,62.0,59.0,39.0
J. Edmundsson,11.6,42.0,58.0,62.0,64.0,49.0
O. Tounkara,11.0,48.0,53.0,62.0,58.0,51.0
C. Gameiro,11.4,47.0,53.0,62.0,61.0,48.0
M. Svilar,61.8,,,,,
Álex Zalaya,8.6,62.0,47.0,42.0,41.0,60.0
S. Rasmussen,61.6,,,,,
L. Vega,10.0,63.0,50.0,47.0,50.0,62.0
R. Miller,11.8,62.0,49.0,47.0,42.0,56.0
A. Sharahili,11.2,62.0,48.0,47.0,51.0,63.0
C. Quintana,10.2,62.0,41.0,41.0,39.0,54.0
A. Basta,12.4,62.0,52.0,52.0,53.0,62.0
L. Williams,1.0,41.0,57.0,62.0,64.0,48.0
C. Pym,63.0,,,,,
C. Jakobsen,9.0,39.0,55.0,62.0,63.0,44.0
A. Al Bulayhi,11.2,62.0,42.0,38.0,36.0,54.0
C. Rolfe,12.6,50.0,58.0,62.0,63.0,51.0
W. Hume,10.2,62.0,45.0,47.0,39.0,52.0
A. Gnahoua,8.8,38.0,49.0,62.0,61.0,42.0
F. Dimarco,8.6,61.0,54.0,49.0,55.0,62.0
L. Algozino,11.6,43.0,58.0,55.0,61.0,51.0
K. Mukuhara,10.8,59.0,49.0,43.0,50.0,62.0
D. Bouzanis,61.8,,,,,
K. Nsor,8.4,35.0,51.0,62.0,59.0,37.0
K. Shelton,11.6,43.0,55.0,63.0,63.0,46.0
Thierry Graça,60.6,,,,,
J. Whatmough,12.6,62.0,51.0,43.0,44.0,57.0
G. Thomas,10.4,42.0,57.0,60.0,63.0,48.0
T. Warschewski,11.2,37.0,49.0,62.0,57.0,39.0
J. O'Toole,12.8,59.0,62.0,63.0,61.0,57.0
T. Kortegaard,11.4,61.0,61.0,62.0,62.0,62.0
S. Kobayashi,9.2,52.0,61.0,55.0,60.0,58.0
L. García,62.8,,,,,
S. Moutoussamy,8.4,56.0,60.0,56.0,64.0,62.0
B. Reeves,10.2,55.0,61.0,60.0,64.0,60.0
S. Mrowca,11.4,61.0,59.0,52.0,57.0,62.0
Abeledo,11.8,36.0,55.0,58.0,63.0,44.0
O. Fredrikson,62.6,,,,,
L. Rath,8.6,62.0,52.0,49.0,51.0,61.0
M. Bloom,13.6,66.0,53.0,48.0,52.0,62.0
G. Fraser,10.0,60.0,64.0,60.0,60.0,60.0
N. Ghandri,9.8,65.0,56.0,52.0,51.0,58.0
D. Clut,11.6,46.0,59.0,58.0,60.0,51.0
F. Downes,11.2,66.0,62.0,57.0,60.0,65.0
J. O'Brien,7.2,57.0,62.0,61.0,63.0,60.0
Park Yong Ji,12.0,34.0,53.0,61.0,63.0,42.0
N. Loyola,9.8,55.0,60.0,57.0,60.0,62.0
J. McBean,10.2,42.0,48.0,62.0,56.0,39.0
Seo Bo Min,10.4,40.0,55.0,60.0,64.0,48.0
A. Santamaria,10.6,49.0,60.0,62.0,62.0,53.0
O. Lancashire,13.2,62.0,46.0,42.0,38.0,56.0
O. Berg,13.0,53.0,62.0,60.0,63.0,59.0
C. Neal,61.4,,,,,
W. Kanga,11.0,38.0,53.0,62.0,63.0,42.0
K. Galanopoulos,8.0,55.0,62.0,57.0,62.0,60.0
A. Wittwer,11.6,63.0,60.0,61.0,61.0,65.0
B. Janeczek,11.4,62.0,49.0,47.0,47.0,59.0
M. Araz,10.6,48.0,62.0,61.0,63.0,54.0
A. Campbell,11.6,36.0,51.0,62.0,60.0,41.0
J. King,9.6,62.0,57.0,57.0,54.0,57.0
Eddy Francis,10.2,63.0,52.0,46.0,50.0,62.0
D. Carvajal,62.0,,,,,
M. Dube,10.6,60.0,55.0,49.0,54.0,62.0
I. De Santis,10.0,62.0,47.0,48.0,43.0,55.0
V. Bindia,12.8,59.0,57.0,55.0,59.0,61.0
B. Al Seliteen,10.2,56.0,62.0,53.0,58.0,55.0
N. Kacharava,10.8,44.0,51.0,62.0,55.0,40.0
Park Dae Han,9.8,60.0,55.0,48.0,56.0,62.0
T. Erlandsson,63.0,,,,,
T. Kaçar,11.2,64.0,62.0,55.0,56.0,62.0
A. Ferati,11.4,45.0,59.0,57.0,63.0,51.0
R. Becker,9.2,59.0,53.0,53.0,56.0,62.0
J. Mensah,8.2,37.0,53.0,58.0,63.0,43.0
E. White,11.2,66.0,55.0,56.0,56.0,62.0
S. Szmodics,12.4,49.0,59.0,59.0,63.0,54.0
C. Mosquera,12.0,49.0,61.0,61.0,63.0,53.0
F. Baeda,9.2,53.0,59.0,62.0,61.0,54.0
L. Justiniano,10.0,61.0,55.0,47.0,48.0,62.0
T. Eastman,14.4,62.0,51.0,43.0,42.0,55.0
F. Kent,10.6,62.0,54.0,49.0,49.0,60.0
M. Oesterhelweg,12.0,48.0,56.0,59.0,62.0,55.0
A. Türkaslan,62.6,,,,,
J. Tabidze,9.8,62.0,43.0,43.0,39.0,56.0
D. Barreto,13.6,44.0,59.0,56.0,61.0,51.0
Calderón,10.8,35.0,55.0,57.0,63.0,44.0
G. Martinez,9.4,60.0,61.0,53.0,58.0,59.0
M. Tombakti,9.2,64.0,58.0,53.0,53.0,60.0
J. Colina,10.0,62.0,54.0,47.0,49.0,59.0
L. Reddy,61.2,,,,,
C. Dummigan,7.4,59.0,54.0,49.0,55.0,62.0
S. Donnellan,9.2,62.0,51.0,48.0,47.0,58.0
D. Kozica,9.0,41.0,56.0,57.0,62.0,49.0
M. Done,8.0,50.0,61.0,62.0,65.0,55.0
E. Latte Lath,6.8,41.0,55.0,63.0,63.0,47.0
G. Gutiérrez,7.8,60.0,53.0,46.0,53.0,62.0
D. Nikolaou,10.4,62.0,49.0,45.0,40.0,57.0
H. Storbæk,12.8,57.0,62.0,62.0,62.0,58.0
J. Valencia,12.8,52.0,60.0,55.0,62.0,56.0
Jang Dae Hee,61.0,,,,,
D. Ulvestad,12.6,62.0,48.0,50.0,43.0,56.0
A. Rodman,11.4,38.0,55.0,60.0,63.0,45.0
A. Gagliardi,12.0,63.0,61.0,61.0,62.0,62.0
G. Kyeremeh,11.0,40.0,55.0,56.0,62.0,48.0
T. Aldred,10.4,62.0,40.0,42.0,35.0,54.0
João Pereira,12.0,63.0,57.0,53.0,56.0,62.0
F. Coniglio,11.2,41.0,53.0,62.0,57.0,40.0
Arellano,9.2,59.0,55.0,55.0,58.0,62.0
M. Sanoh,7.8,39.0,51.0,59.0,63.0,46.0
L. Fosgaard,10.8,40.0,56.0,56.0,61.0,49.0
A. N'Diaye,10.2,36.0,52.0,62.0,64.0,45.0
D. Smith,10.0,48.0,57.0,60.0,62.0,53.0
Cantero,62.6,,,,,
T. Field,11.2,60.0,58.0,59.0,61.0,62.0
N. Malić,13.8,62.0,39.0,38.0,29.0,52.0
J. Shea,61.4,,,,,
R. Touzet,9.4,62.0,48.0,45.0,45.0,58.0
H. Sanhaji,8.4,35.0,49.0,62.0,61.0,41.0
M. Dúbravka,61.6,,,,,
B. Boutobba,12.2,27.0,52.0,58.0,64.0,39.0
D. Romney,9.6,65.0,58.0,53.0,54.0,62.0
V. Zubarev,8.0,60.0,59.0,53.0,55.0,60.0
H. Nakagawa,11.4,41.0,62.0,62.0,68.0,53.0
M. Harrington,11.2,62.0,57.0,58.0,57.0,62.0
B. Miele,8.0,54.0,61.0,58.0,62.0,59.0
G. Di Noia,11.6,58.0,59.0,53.0,57.0,62.0
A. López,11.6,39.0,56.0,62.0,63.0,43.0
L. Díaz,12.8,37.0,52.0,62.0,59.0,40.0
C. Coimbra,12.0,62.0,46.0,40.0,43.0,60.0
C. Herd,13.6,63.0,59.0,55.0,55.0,59.0
L. Enoh,10.4,61.0,56.0,62.0,59.0,60.0
K. Osorio,9.6,53.0,62.0,58.0,61.0,54.0
Matheus,10.0,62.0,51.0,47.0,43.0,57.0
P. Cowan-Hall,12.2,45.0,54.0,63.0,63.0,51.0
B. Gartland,10.8,62.0,42.0,40.0,35.0,51.0
P. McGinn,7.0,59.0,59.0,55.0,59.0,62.0
O. Duarte,9.4,33.0,54.0,62.0,65.0,42.0
M. Borgnino,10.6,37.0,54.0,61.0,62.0,44.0
A. Barton,11.0,51.0,62.0,57.0,59.0,53.0
Yang Han Been,63.0,,,,,
A. Deja,11.2,60.0,62.0,56.0,59.0,60.0
A. Gabrielsen,11.0,62.0,53.0,51.0,47.0,55.0
N. Falasco,10.6,64.0,53.0,52.0,55.0,62.0
Yang Jun A,9.4,63.0,62.0,61.0,62.0,64.0
R. McCabe,8.8,57.0,62.0,58.0,62.0,61.0
M. McNulty,61.0,,,,,
S. Luštica,10.8,51.0,62.0,59.0,61.0,54.0
L. Corti,62.4,,,,,
Muguruza,9.6,43.0,57.0,61.0,63.0,49.0
Song Ju Hun,9.8,62.0,40.0,44.0,39.0,57.0
O. Ayık,12.2,45.0,58.0,61.0,63.0,48.0
Bolaños,10.0,59.0,62.0,59.0,60.0,59.0
O. Khan,11.6,38.0,54.0,58.0,63.0,48.0
A. Arslan,9.8,47.0,61.0,60.0,62.0,54.0
K. Seki,60.6,,,,,
M. Doucouré,8.0,61.0,45.0,44.0,42.0,57.0
A. Horwath,61.6,,,,,
P. Heigre,61.6,,,,,
R. Healey,10.4,33.0,47.0,61.0,58.0,38.0
O. Muzayil,9.4,59.0,55.0,50.0,55.0,61.0
João Pinho,61.2,,,,,
A. Nabi,12.8,41.0,56.0,61.0,62.0,43.0
Lim Min Hyeok,61.2,,,,,
K. Hachisuka,10.2,60.0,48.0,46.0,52.0,61.0
A. Sosa,8.4,61.0,43.0,45.0,41.0,56.0
S. Altama,11.6,63.0,56.0,52.0,52.0,61.0
L. Jones,11.4,61.0,43.0,41.0,38.0,52.0
R. Macek,11.2,51.0,61.0,58.0,62.0,55.0
J. Russell,10.2,57.0,61.0,58.0,60.0,59.0
T. Ciğerci,11.4,45.0,59.0,55.0,59.0,47.0
J. Clarke,11.2,61.0,50.0,49.0,45.0,57.0
Quique Cebriá,60.4,,,,,
D. Granli,11.2,61.0,56.0,55.0,55.0,61.0
M. Torres,10.0,61.0,47.0,50.0,47.0,57.0
D. Bertaud,60.4,,,,,
J. Ramírez,10.0,43.0,57.0,56.0,61.0,48.0
B. Rubio,9.2,40.0,48.0,61.0,57.0,39.0
